t_s,frametime_ms,fps
2.5589,19.208,52.061
2.5782,18.247,54.804
2.5964,16.999,58.826
2.6134,17.97,55.65
2.6314,19.338,51.711
2.6507,17.502,57.137
2.6682,17.329,57.707
2.6855,19.359,51.655
2.7049,18.448,54.207
2.7233,17.554,56.967
2.7409,16.841,59.38
2.7577,15.933,62.763
2.7737,16.7,59.881
2.7904,18.402,54.341
2.8088,18.162,55.061
2.8269,17.946,55.722
2.8449,16.571,60.345
2.8615,16.898,59.18
2.8784,18.73,53.391
2.8971,16.712,59.837
2.9138,17.621,56.749
2.9314,17.826,56.096
2.9492,17.403,57.462
2.9666,17.516,57.092
2.9842,17.547,56.99
3.0017,18.274,54.724
3.02,19.191,52.109
3.0392,18.178,55.011
3.0573,18.194,54.964
3.0755,17.132,58.371
3.0927,18.06,55.372
3.1107,19.235,51.987
3.13,18.196,54.957
3.1482,17.631,56.717
3.1658,17.078,58.555
3.1829,18.958,52.749
3.2018,18.555,53.892
3.2204,18.607,53.743
3.239,18.174,55.025
3.2572,18.339,54.528
3.2755,17.471,57.236
3.293,19.055,52.479
3.312,18.758,53.309
3.3308,17.67,56.592
3.3485,16.298,61.359
3.3648,17.761,56.304
3.3825,17.811,56.145
3.4003,19.471,51.357
3.4198,16.903,59.16
3.4367,19.331,51.73
3.456,17.403,57.461
3.4734,18.964,52.731
3.4924,17.736,56.382
3.5101,17.714,56.454
3.5279,18.358,54.472
3.5462,19.002,52.627
3.5652,18.652,53.614
3.5839,17.49,57.175
3.6014,19.172,52.159
3.6205,18.761,53.302
3.6393,17.802,56.173
3.6571,20.147,49.636
3.6772,16.982,58.886
3.6942,16.716,59.822
3.7109,18.359,54.47
3.7293,18.9,52.911
3.7482,17.331,57.702
3.7655,19.584,51.062
3.7851,17.718,56.441
3.8028,17.657,56.635
3.8205,19.819,50.456
3.8403,16.92,59.103
3.8572,19.748,50.638
3.877,17.876,55.941
3.8948,19.733,50.677
3.9146,17.758,56.312
3.9323,17.391,57.5
3.9497,17.424,57.391
3.9672,19.391,51.57
3.9865,20.379,49.07
4.0069,18.821,53.133
4.0257,18.012,55.52
4.0438,19.196,52.093
4.063,18.522,53.989
4.0815,19.51,51.255
4.101,17.361,57.6
4.1183,18.526,53.979
4.1369,20.085,49.787
4.157,18.057,55.381
4.175,18.001,55.553
4.193,18.807,53.171
4.2118,18.678,53.539
4.2305,17.801,56.177
4.2483,18.73,53.39
4.267,18.482,54.106
4.2855,19.641,50.913
4.3052,18.446,54.212
4.3236,18.093,55.269
4.3417,17.001,58.82
4.3587,19.084,52.399
4.3778,18.88,52.966
4.3967,17.746,56.35
4.4144,15.979,62.584
4.4304,20.332,49.184
4.4507,17.853,56.013
4.4686,17.893,55.886
4.4865,17.479,57.212
4.5039,17.845,56.037
4.5218,18.97,52.714
4.5408,17.603,56.809
4.5584,18.852,53.046
4.5772,18.564,53.868
4.5958,19.697,50.77
4.6155,17.923,55.793
4.6334,17.893,55.888
4.6513,19.959,50.103
4.6712,18.121,55.184
4.6894,18.898,52.915
4.7083,20.464,48.867
4.7287,19.765,50.595
4.7485,18.994,52.649
4.7675,18.059,55.374
4.7855,19.143,52.239
4.8047,19.273,51.887
4.824,19.919,50.203
4.8439,17.643,56.678
4.8615,18.814,53.152
4.8803,18.116,55.199
4.8985,18.786,53.231
4.9172,18.755,53.32
4.936,18.658,53.596
4.9547,19.327,51.742
4.974,19.649,50.892
4.9936,17.66,56.624
5.0113,18.693,53.497
5.03,18.835,53.091
5.0488,18.69,53.506
5.0675,19.323,51.752
5.0868,17.66,56.626
5.1045,18.873,52.985
5.1234,17.535,57.028
5.1409,18.087,55.287
5.159,19.124,52.289
5.1781,18.425,54.275
5.1965,18.356,54.478
5.2149,18.291,54.672
5.2332,18.885,52.951
5.2521,19.593,51.038
5.2717,18.412,54.314
5.2901,17.081,58.546
5.3072,18.714,53.436
5.3259,16.822,59.445
5.3427,19.059,52.47
5.3618,18.623,53.698
5.3804,17.926,55.786
5.3983,18.323,54.576
5.4166,19.292,51.835
5.4359,17.887,55.905
5.4538,19.11,52.329
5.4729,17.232,58.03
5.4901,17.639,56.693
5.5078,18.092,55.273
5.5259,17.212,58.097
5.5431,18.847,53.059
5.5619,18.206,54.928
5.5801,20.439,48.926
5.6006,17.608,56.793
5.6182,18.268,54.741
5.6365,18.948,52.777
5.6554,19.955,50.112
5.6754,17.541,57.008
5.6929,18.799,53.195
5.7117,18.461,54.167
5.7302,19.063,52.457
5.7492,17.324,57.723
5.7665,18.701,53.472
5.7852,17.066,58.597
5.8023,17.38,57.536
5.8197,17.459,57.277
5.8372,16.902,59.163
5.8541,18.928,52.833
5.873,20.125,49.689
5.8931,18.882,52.96
5.912,18.036,55.444
5.93,18.416,54.3
5.9484,19.912,50.22
5.9684,16.978,58.9
5.9853,19.294,51.829
6.0046,18.814,53.153
6.0234,18.844,53.068
6.0423,19.565,51.113
6.0618,18.938,52.805
6.0808,16.845,59.363
6.0976,18.506,54.037
6.1161,17.749,56.34
6.1339,20.675,48.366
6.1546,17.93,55.772
6.1725,16.7,59.882
6.1892,17.803,56.169
6.207,18.354,54.484
6.2253,18.203,54.936
6.2436,18.026,55.475
6.2616,16.25,61.538
6.2778,19.381,51.598
6.2972,17.989,55.588
6.3152,18.873,52.985
6.3341,18.604,53.752
6.3527,18.084,55.298
6.3708,19.77,50.582
6.3905,18.906,52.894
6.4094,19.302,51.808
6.4287,19.072,52.434
6.4478,17.204,58.125
6.465,17.747,56.349
6.4828,19.444,51.431
6.5022,18.586,53.803
6.5208,17.939,55.746
6.5387,19.43,51.467
6.5582,18.812,53.157
6.577,18.272,54.728
6.5952,17.953,55.702
6.6132,17.57,56.916
6.6308,17.871,55.958
6.6486,17.55,56.981
6.6662,17.318,57.743
6.6835,20.126,49.686
6.7036,18.588,53.798
6.7222,17.568,56.923
6.7398,19.049,52.497
6.7588,16.597,60.251
6.7754,19.208,52.063
6.7946,18.526,53.978
6.8132,16.804,59.511
6.83,15.391,64.973
6.8454,19.383,51.592
6.8647,18.906,52.892
6.8836,16.992,58.852
6.9006,19.153,52.21
6.9198,16.423,60.889
6.9362,17.082,58.541
6.9533,17.833,56.075
6.9711,20.246,49.394
6.9914,18.822,53.129
7.0102,16.512,60.563
7.0267,19.295,51.826
7.046,19.14,52.245
7.0651,18.397,54.358
7.0835,18.451,54.199
7.102,18.101,55.246
7.1201,19.634,50.932
7.1397,17.448,57.312
7.1572,18.188,54.982
7.1754,17.448,57.312
7.1928,18.784,53.237
7.2116,17.362,57.597
7.229,17.862,55.984
7.2468,19.87,50.328
7.2667,17.841,56.05
7.2845,17.937,55.751
7.3025,18.061,55.368
7.3205,17.633,56.713
7.3382,15.938,62.743
7.3541,18.314,54.603
7.3724,19.286,51.85
7.3917,18.233,54.844
7.4099,18.936,52.809
7.4289,18.848,53.057
7.4477,17.171,58.239
7.4649,19.593,51.039
7.4845,16.256,61.515
7.5007,18.029,55.466
7.5188,17.665,56.608
7.5364,18.861,53.02
7.5553,17.463,57.265
7.5728,17.304,57.789
7.5901,18.062,55.366
7.6081,17.34,57.671
7.6255,18.788,53.227
7.6442,16.968,58.933
7.6612,16.401,60.971
7.6776,17.559,56.951
7.6952,17.563,56.939
7.7127,17.294,57.822
7.73,19.045,52.508
7.7491,17.203,58.129
7.7663,19.471,51.359
7.7858,17.578,56.889
7.8033,17.122,58.405
7.8205,19.869,50.33
7.8403,18.111,55.216
7.8584,17.403,57.463
7.8758,17.836,56.066
7.8937,19.291,51.837
7.913,17.409,57.443
7.9304,19.178,52.143
7.9495,18.463,54.162
7.968,17.415,57.421
7.9854,19.142,52.242
8.0046,18.605,53.748
8.0232,17.51,57.11
8.0407,16.548,60.429
8.0572,19.358,51.659
8.0766,18.414,54.307
8.095,18.214,54.902
8.1132,18.949,52.774
8.1322,18.436,54.241
8.1506,19.983,50.044
8.1706,17.837,56.063
8.1884,18.38,54.406
8.2068,19.389,51.577
8.2262,18.727,53.399
8.2449,17.139,58.346
8.2621,17.961,55.675
8.28,19.201,52.081
8.2992,19.581,51.069
8.3188,16.052,62.296
8.3349,18.685,53.52
8.3535,16.806,59.504
8.3703,18.27,54.734
8.3886,19.922,50.196
8.4085,18.613,53.725
8.4272,18.906,52.893
8.4461,18.377,54.415
8.4644,18.66,53.592
8.4831,18.807,53.171
8.5019,17.078,58.555
8.519,29.143,34.314
8.5481,19.462,51.382
8.5676,18.287,54.684
8.5859,18.639,53.651
8.6045,19.932,50.171
8.6244,18.208,54.92
8.6426,17.632,56.713
8.6603,18.159,55.068
8.6784,18.703,53.467
8.6971,16.333,61.225
8.7135,18.54,53.936
8.732,18.263,54.756
8.7503,18.454,54.187
8.7687,17.031,58.716
8.7858,19.921,50.198
8.8057,18.375,54.422
8.8241,18.892,52.933
8.843,18.895,52.923
8.8618,18.834,53.095
8.8807,18.237,54.833
8.8989,18.204,54.933
8.9171,19.269,51.896
8.9364,16.954,58.984
8.9533,16.639,60.099
8.97,18.467,54.151
8.9885,18.099,55.251
9.0066,15.985,62.558
9.0225,17.952,55.704
9.0405,17.376,57.549
9.0579,17.454,57.293
9.0753,18.381,54.403
9.0937,19.075,52.425
9.1128,17.071,58.579
9.1298,16.892,59.2
9.1467,18.948,52.775
9.1657,19.1,52.355
9.1848,17.233,58.027
9.202,18.068,55.345
9.2201,18.405,54.332
9.2385,17.864,55.977
9.2564,16.924,59.088
9.2733,19.357,51.661
9.2926,16.268,61.472
9.3089,17.206,58.118
9.3261,19.014,52.593
9.3451,17.451,57.305
9.3626,17.748,56.344
9.3803,18.281,54.702
9.3986,16.824,59.437
9.4154,18.635,53.662
9.4341,19.103,52.349
9.4532,17.339,57.672
9.4705,19.193,52.101
9.4897,17.565,56.933
9.5073,17.243,57.995
9.5245,18.57,53.849
9.5431,17.785,56.226
9.5609,19.026,52.561
9.5799,18.632,53.672
9.5985,16.663,60.014
9.6152,16.876,59.255
9.6321,16.922,59.095
9.649,17.232,58.031
9.6662,17.881,55.924
9.6841,18.402,54.343
9.7025,18.292,54.668
9.7208,16.507,60.579
9.7373,17.302,57.796
9.7546,17.539,57.017
9.7721,18.423,54.279
9.7906,19.416,51.503
9.81,17.167,58.25
9.8271,18.468,54.149
9.8456,18.325,54.57
9.8639,16.644,60.082
9.8806,18.502,54.047
9.8991,19.455,51.402
9.9185,17.867,55.968
9.9364,18.248,54.802
9.9547,18.431,54.257
9.9731,17.957,55.687
9.991,18.918,52.861
10.01,16.939,59.034
10.0269,18.351,54.493
10.0453,18.381,54.403
10.0636,17.775,56.259
10.0814,16.846,59.36
10.0983,17.311,57.768
10.1156,17.919,55.805
10.1335,17.864,55.977
10.1514,17.434,57.359
10.1688,17.906,55.846
10.1867,16.544,60.444
10.2032,18.043,55.424
10.2213,18.382,54.403
10.2397,16.452,60.781
10.2561,19.654,50.881
10.2758,17.46,57.275
10.2932,17.97,55.647
10.3112,18.081,55.305
10.3293,16.322,61.268
10.3456,17.641,56.686
10.3632,17.842,56.048
10.3811,17.52,57.078
10.3986,17.044,58.672
10.4156,17.554,56.968
10.4332,18.265,54.75
10.4515,15.918,62.822
10.4674,18.245,54.809
10.4856,16.815,59.47
10.5024,17.746,56.349
10.5202,17.963,55.669
10.5382,18.003,55.545
10.5562,17.599,56.822
10.5738,17.417,57.415
10.5912,18.42,54.29
10.6096,17.185,58.189
10.6268,17.862,55.984
10.6446,18.706,53.458
10.6633,17.583,56.874
10.6809,18.496,54.067
10.6994,17.97,55.649
10.7174,16.725,59.791
10.7341,18.646,53.632
10.7528,17.35,57.636
10.7701,18.989,52.661
10.7891,16.24,61.578
10.8053,18.551,53.905
10.8239,18.574,53.839
10.8425,17.835,56.071
10.8603,17.773,56.264
10.8781,16.694,59.9
10.8948,16.802,59.517
10.9116,16.932,59.061
10.9285,18.108,55.223
10.9466,19.091,52.382
10.9657,17.877,55.938
10.9836,17.56,56.949
11.0011,18.891,52.934
11.02,17.838,56.062
11.0379,18.744,53.351
11.0566,18.522,53.99
11.0751,17.135,58.36
11.0923,18.044,55.421
11.1103,17.458,57.281
11.1278,16.589,60.279
11.1444,17.734,56.388
11.1621,18.359,54.47
11.1805,17.449,57.311
11.1979,55.76,17.934
11.2537,16.558,60.393
11.2702,17.035,58.704
11.2873,18.114,55.205
11.3054,17.25,57.971
11.3226,17.678,56.566
11.3403,18.1,55.248
11.3584,17.841,56.051
11.3762,18.389,54.381
11.3946,16.47,60.715
11.4111,17.148,58.318
11.4282,21.126,47.336
11.4494,16.804,59.51
11.4662,18.531,53.964
11.4847,18.211,54.913
11.5029,16.251,61.536
11.5192,19.499,51.285
11.5387,16.507,60.58
11.5552,18.246,54.807
11.5734,17.264,57.924
11.5907,17.139,58.347
11.6078,16.465,60.735
11.6243,17.953,55.7
11.6422,17.978,55.623
11.6602,18.469,54.146
11.6787,17.905,55.851
11.6966,18.434,54.247
11.715,16.794,59.545
11.7318,54.36,18.396
11.7862,18.08,55.311
11.8043,17.777,56.253
11.822,19.051,52.491
11.8411,17.061,58.613
11.8581,18.08,55.308
11.8762,17.739,56.373
11.894,16.598,60.247
11.9106,16.948,59.003
11.9275,17.627,56.731
11.9451,17.094,58.499
11.9622,17.823,56.108
11.9801,17.323,57.728
11.9974,16.956,58.975
12.0143,17.484,57.197
12.0318,17.742,56.365
12.0496,16.89,59.206
12.0665,17.553,56.971
12.084,17.444,57.326
12.1014,16.165,61.86
12.1176,15.531,64.389
12.1331,16.168,61.852
12.1493,16.756,59.679
12.1661,17.477,57.219
12.1835,17.95,55.71
12.2015,17.745,56.353
12.2192,15.849,63.095
12.2351,16.114,62.059
12.2512,18.459,54.174
12.2697,17.467,57.252
12.2871,18.892,52.932
12.306,17.1,58.478
12.3231,17.316,57.752
12.3404,16.34,61.201
12.3568,17.763,56.296
12.3745,16.728,59.781
12.3913,17.892,55.89
12.4092,17.191,58.17
12.4264,15.875,62.992
12.4422,16.54,60.458
12.4588,16.241,61.572
12.475,16.752,59.693
12.4918,17.497,57.153
12.5093,17.654,56.643
12.5269,15.786,63.348
12.5427,18.884,52.954
12.5616,16.505,60.586
12.5781,18.68,53.532
12.5968,16.557,60.398
12.6133,16.921,59.098
12.6302,18.271,54.731
12.6485,18.506,54.036
12.667,18.633,53.668
12.6857,18.563,53.87
12.7042,15.891,62.93
12.7201,18.1,55.249
12.7382,18.628,53.682
12.7568,16.625,60.149
12.7735,18.133,55.149
12.7916,17.65,56.657
12.8092,17.749,56.341
12.827,18.577,53.829
12.8456,15.749,63.498
12.8613,16.64,60.097
12.878,17.52,57.079
12.8955,18.571,53.847
12.9141,17.899,55.87
12.932,16.042,62.336
12.948,17.365,57.588
12.9654,17.948,55.716
12.9833,17.201,58.135
13.0005,18.377,54.416
13.0189,18.579,53.823
13.0375,16.893,59.195
13.0544,19.048,52.5
13.0734,17.063,58.608
13.0905,17.042,58.679
13.1075,17.462,57.266
13.125,17.453,57.296
13.1424,19.048,52.5
13.1615,17.315,57.752
13.1788,17.986,55.6
13.1968,18.88,52.965
13.2157,17.853,56.014
13.2335,16.68,59.953
13.2502,16.933,59.057
13.2671,17.191,58.169
13.2843,17.73,56.4
13.302,18.417,54.298
13.3205,17.471,57.238
13.3379,16.384,61.036
13.3543,17.684,56.549
13.372,17.79,56.211
13.3898,17.577,56.893
13.4074,15.71,63.655
13.4231,16.342,61.191
13.4394,16.545,60.443
13.456,18.398,54.353
13.4744,17.552,56.972
13.4919,17.354,57.623
13.5093,17.244,57.993
13.5265,18.407,54.327
13.5449,17.229,58.042
13.5621,18.782,53.241
13.5809,18.618,53.712
13.5995,18.059,55.375
13.6176,17.134,58.363
13.6347,17.859,55.993
13.6526,17.063,58.605
13.6697,16.788,59.566
13.6864,17.164,58.262
13.7036,15.478,64.607
13.7191,19.545,51.164
13.7386,16.57,60.351
13.7552,18.727,53.4
13.7739,16.935,59.048
13.7909,18.294,54.664
13.8092,19.211,52.052
13.8284,16.959,58.967
13.8453,16.547,60.435
13.8619,17.534,57.032
13.8794,17.853,56.012
13.8973,17.693,56.519
13.915,19.428,51.472
13.9344,18.076,55.322
13.9525,17.968,55.654
13.9704,16.921,59.099
13.9874,18.071,55.337
14.0054,17.154,58.295
14.0226,17.654,56.646
14.0402,19.622,50.963
14.0599,18.464,54.161
14.0783,19.275,51.88
14.0976,17.205,58.121
14.1148,16.062,62.257
14.1309,18.583,53.812
14.1494,18.4,54.346
14.1678,17.451,57.304
14.1853,20.397,49.026
14.2057,17.038,58.692
14.2227,18.3,54.644
14.241,18.551,53.906
14.2596,18.736,53.374
14.2783,17.422,57.398
14.2957,16.283,61.413
14.312,18.03,55.464
14.3301,19.764,50.598
14.3498,17.154,58.294
14.367,16.247,61.548
14.3832,17.827,56.093
14.401,18.575,53.836
14.4196,19.016,52.588
14.4386,17.285,57.853
14.4559,18.844,53.068
14.4748,20.082,49.795
14.4948,18.009,55.528
14.5129,18.505,54.038
14.5314,16.818,59.459
14.5482,17.921,55.799
14.5661,18.326,54.566
14.5844,17.42,57.406
14.6018,16.676,59.967
14.6185,18.105,55.234
14.6366,18.872,52.989
14.6555,17.588,56.855
14.6731,17.393,57.495
14.6905,17.852,56.015
14.7083,17.233,58.03
14.7256,17.874,55.946
14.7434,17.111,58.441
14.7606,16.917,59.113
14.7775,18.222,54.879
14.7957,16.618,60.175
14.8123,19.386,51.583
14.8317,16.159,61.886
14.8479,16.433,60.853
14.8643,17.584,56.87
14.8819,17.561,56.944
14.8994,19.147,52.227
14.9186,19.12,52.3
14.9377,18.122,55.18
14.9558,16.204,61.715
14.972,18.197,54.953
14.9902,17.251,57.968
15.0075,17.765,56.29
15.0252,18.105,55.234
15.0433,16.254,61.525
15.0596,17.111,58.441
15.0767,17.057,58.629
15.0938,18.123,55.177
15.1119,17.894,55.884
15.1298,18.622,53.7
15.1484,19.295,51.827
15.1677,18.334,54.543
15.186,18.219,54.887
15.2043,17.888,55.905
15.2221,17.522,57.072
15.2397,17.63,56.722
15.2573,16.51,60.57
15.2738,18.853,53.041
15.2927,18.986,52.672
15.3116,18.407,54.327
15.33,19.467,51.369
15.3495,18.761,53.302
15.3683,19.497,51.289
15.3878,18.239,54.826
15.406,17.958,55.687
15.424,18.211,54.911
15.4422,19.839,50.406
15.462,17.707,56.476
15.4797,42.37,23.602
15.5221,15.66,63.858
15.5378,15.568,64.235
15.5533,18.592,53.786
15.5719,18.089,55.281
15.59,17.695,56.512
15.6077,17.094,58.498
15.6248,17.312,57.762
15.6421,18.248,54.8
15.6604,19.073,52.429
15.6794,18.737,53.37
15.6982,16.934,59.052
15.7151,16.109,62.075
15.7312,18.862,53.017
15.7501,17.17,58.24
15.7672,18.265,54.75
15.7855,16.834,59.405
15.8023,16.951,58.994
15.8193,18.96,52.742
15.8383,19.431,51.463
15.8577,19.837,50.411
15.8775,19.174,52.154
15.8967,18.544,53.925
15.9152,18.696,53.486
15.9339,19.063,52.457
15.953,17.86,55.992
15.9709,18.566,53.861
15.9894,18.584,53.811
16.008,18.652,53.614
16.0267,18.509,54.029
16.0452,18.493,54.073
16.0637,18.147,55.106
16.0818,16.828,59.426
16.0986,19.722,50.704
16.1184,18.691,53.502
16.137,19.015,52.59
16.1561,18.305,54.63
16.1744,17.465,57.257
16.1918,18.174,55.025
16.21,20.004,49.991
16.23,18.715,53.434
16.2487,17.185,58.19
16.2659,18.545,53.923
16.2845,17.464,57.26
16.3019,19.24,51.974
16.3212,19.063,52.457
16.3402,16.191,61.762
16.3564,18.995,52.646
16.3754,19.27,51.894
16.3947,17.521,57.074
16.4122,18.808,53.17
16.431,17.856,56.004
16.4489,20.389,49.045
16.4693,18.628,53.683
16.4879,18.535,53.953
16.5064,18.666,53.574
16.5251,18.659,53.593
16.5437,19.215,52.041
16.563,18.074,55.329
16.581,18.205,54.929
16.5992,18.078,55.316
16.6173,19.562,51.119
16.6369,18.948,52.775
16.6558,19.041,52.518
16.6749,18.0,55.557
16.6929,18.293,54.666
16.7112,18.832,53.101
16.73,19.457,51.397
16.7494,20.155,49.616
16.7696,18.627,53.684
16.7882,19.983,50.043
16.8082,19.418,51.498
16.8276,20.579,48.593
16.8482,19.243,51.968
16.8675,18.208,54.921
16.8857,19.546,51.163
16.9052,19.057,52.475
16.9243,18.048,55.409
16.9423,17.932,55.766
16.9602,19.331,51.732
16.9796,19.544,51.165
16.9991,18.984,52.676
17.0181,19.191,52.107
17.0373,19.545,51.165
17.0568,18.765,53.291
17.0756,19.408,51.525
17.095,19.393,51.565
17.1144,19.307,51.794
17.1337,18.462,54.165
17.1522,18.588,53.799
17.1708,18.998,52.637
17.1898,19.196,52.095
17.209,17.795,56.196
17.2267,19.73,50.685
17.2465,18.223,54.876
17.2647,19.698,50.766
17.2844,17.371,57.568
17.3018,19.179,52.141
17.3209,18.802,53.184
17.3398,18.542,53.931
17.3583,18.727,53.398
17.377,18.45,54.201
17.3955,16.402,60.967
17.4119,18.022,55.486
17.4299,17.899,55.87
17.4478,18.254,54.783
17.466,20.299,49.263
17.4863,19.308,51.793
17.5057,18.456,54.184
17.5241,18.698,53.481
17.5428,18.258,54.77
17.5611,17.207,58.117
17.5783,17.706,56.478
17.596,18.012,55.518
17.614,19.517,51.237
17.6335,18.029,55.468
17.6515,19.908,50.23
17.6714,19.669,50.843
17.6911,19.122,52.297
17.7102,17.356,57.618
17.7276,19.316,51.772
17.7469,16.76,59.666
17.7637,18.075,55.325
17.7817,18.921,52.852
17.8007,18.093,55.271
17.8188,19.49,51.309
17.8382,19.783,50.549
17.858,18.405,54.332
17.8764,21.957,45.544
17.8984,17.872,55.953
17.9163,19.422,51.487
17.9357,19.557,51.133
17.9552,17.703,56.488
17.9729,18.582,53.816
17.9915,18.772,53.269
18.0103,18.498,54.059
18.0288,17.978,55.623
18.0468,17.695,56.513
18.0645,18.23,54.853
18.0827,20.794,48.091
18.1035,20.378,49.073
18.1239,17.393,57.496
18.1413,17.752,56.33
18.159,17.458,57.28
18.1765,17.28,57.871
18.1938,18.418,54.296
18.2122,19.259,51.925
18.2314,17.665,56.608
18.2491,18.482,54.107
18.2676,18.867,53.002
18.2864,19.035,52.534
18.3055,19.049,52.496
18.3245,20.459,48.879
18.345,16.89,59.208
18.3619,19.729,50.688
18.3816,19.504,51.27
18.4011,20.784,48.115
18.4219,18.535,53.952
18.4404,18.753,53.325
18.4592,20.319,49.216
18.4795,18.204,54.932
18.4977,19.418,51.499
18.5171,19.179,52.141
18.5363,18.989,52.662
18.5553,19.176,52.149
18.5745,17.678,56.567
18.5921,20.452,48.896
18.6126,19.095,52.369
18.6317,17.654,56.644
18.6493,19.116,52.311
18.6685,17.874,55.947
18.6863,17.422,57.397
18.7038,19.628,50.947
18.7234,19.783,50.548
18.7432,18.209,54.917
18.7614,19.78,50.556
18.7812,18.427,54.269
18.7996,19.471,51.359
18.8191,20.137,49.661
18.8392,18.773,53.269
18.858,18.605,53.749
18.8766,18.623,53.696
18.8952,19.424,51.483
18.9146,19.447,51.423
18.9341,17.48,57.207
18.9515,18.447,54.21
18.97,18.533,53.956
18.9885,19.949,50.129
19.0085,18.527,53.976
19.027,18.352,54.49
19.0454,18.681,53.531
19.064,19.022,52.57
19.0831,18.549,53.91
19.1016,18.335,54.54
19.1199,19.612,50.989
19.1396,18.717,53.428
19.1583,18.981,52.685
19.1773,18.502,54.048
19.1958,17.005,58.806
19.2128,20.893,47.864
19.2337,17.352,57.631
19.251,18.937,52.805
19.2699,18.704,53.465
19.2886,20.025,49.939
19.3087,18.324,54.573
19.327,18.934,52.815
19.3459,19.85,50.379
19.3658,19.717,50.717
19.3855,18.958,52.748
19.4045,19.09,52.383
19.4235,18.52,53.996
19.4421,18.57,53.85
19.4606,17.21,58.105
19.4778,18.569,53.853
19.4964,19.89,50.278
19.5163,19.863,50.344
19.5362,18.072,55.334
19.5542,19.505,51.27
19.5737,20.455,48.888
19.5942,18.415,54.304
19.6126,19.52,51.231
19.6321,19.795,50.517
19.6519,19.899,50.254
19.6718,20.867,47.923
